Daily	Met File BIOCON 1982 - mid2005

&ENVIRON				
CA = 360
/				

&LATLONG				
LATHEM	=	'N'		
LAT	=	45	0	0
LONHEM	=	'W'		
LONG	=	93	0	0
tzlong = 120
/				


&FORMAT				
DAYORHR	=	0		
1511	-3	1	3.3	4.862761506	0
1512	-12	1	0	14.3874477	0
1513	-15	3	0	10.65188285	0
1514	1	10	0.03	10.16485356	0
1515	-6	2	2.54	1.69958159	0
1516	-11	-5	0	10.34560669	0
1517	-13	-7	0	9.012552301	0
1518	-19	-7	0	15.47196653	0
1519	-12	-7	0	14.33472803	0
1520	-21	-11	0	12.13054393	0
1521	-14	-8	0	14.3874477	0
1522	-22	-9	0.03	17.18912134	0
1523	-20	-7	0	7.310460251	0
1524	-13	-4	1.78	4.917991632	0
1525	-9	-6	0.25	11.54811715	0
1526	-13	-5	6.6	5.841841004	0
1527	-7	-1	5.08	6.291213389	0
1528	-12	-1	5.84	8.994979079	0
1529	-18	-7	0.03	15.11297071	0
1530	-12	-1	0	14.91213389	0
1531	-11	4	0	16.45606695	0
1532	-1	6	0.03	12.7707113	0
1533	-4	1	14.48	2.470292887	0
1534	-6	-1	2.03	18.16820084	0
1535	-17	3	0	20.71631799	0
1536	-4	3	0.25	11.88451883	0
1537	-4	6	0.76	14.81924686	0
1538	-1	4	0.76	7.651882845	0
1539	-9	2	0.51	15.18577406	0
1540	-17	-6	0	18.76066946	0
1541	-14	-6	0	21.15313808	0
1542	-11	1	0	18.28368201	0
1543	-10	-2	0	21.46443515	0
1544	-16	-2	0	21.88368201	0
1545	-14	2	0	21.57991632	0
1546	-7	9	0	20.77656904	0
1547	3	9	1.02	18.67531381	0
1548	-2	8	0	19.91046025	0
1549	-7	6	0.03	14.59079498	0
1550	-5	2	0	8.5958159	0
1551	-10	-2	3.56	5.756485356	0
1552	-3	0	10.16	11.67615063	0
1553	-7	-1	0	12.85857741	0
1554	-5	1	0	16.52384937	0
1555	-11	3	0	22.11715481	0
1556	-7	7	0	20.84937238	0
1557	6	15	0	8.769037657	0
1558	3	14	0	12.92384937	0
1559	-3	11	2.29	23.50543933	0
1560	4	11	30.48	6.943933054	0
1561	3	6	25.15	3.394142259	0
1562	4	17	0	19.96820084	0
1563	4	20	1.27	18.65020921	0
1564	9	24	1.02	19.09205021	0
1565	9	31	0	20.29456067	0
1566	20	31	0.51	15.32887029	0
1567	9	28	1.78	24.12803347	0.066666667
1568	8	28	11.18	22.72468619	0.133333333
1569	2	22	0	18.29372385	0.2
1570	-1	10	0	25.22259414	0.266666667
1571	-1	9	5.84	6.30125523	0.333333333
1572	-2	5	1.02	13.09456067	0.4
1573	1	19	0	23.98493724	0.466666667
1574	5	18	0	14.58577406	0.533333333
1575	-2	6	0	25.70711297	0.6
1576	-4	10	1.27	23.10125523	0.666666667
1577	0	9	15.24	4.325523013	0.733333333
1578	1	5	3.81	8.354811715	0.8
1579	4	16	1.27	22.05439331	0.866666667
1580	-2	17	0	18.79330544	0.933333333
1581	-1	14	0	15.71799163	1
1582	-2	10	0	23.53054393	1.066666667
1583	-4	18	0	28.31297071	1.133333333
1584	0	15	0	16.29790795	1.2
1585	-2	23	10.92	20.13138075	1.266666667
1586	5	12	0	7.360669456	1.333333333
1587	1	10	3.81	10.76736402	1.4
1588	4	8	15.24	5.194142259	1.466666667
1589	3	9	0	9.672803347	1.533333333
1590	1	17	0	25.49372385	1.6
1591	4	12	2.54	5.066108787	1.666666667
1592	5	10	0	8.540585774	1.733333333
1593	1	18	1.27	19.03933054	1.8
1594	6	18	0	27.09288703	1.866666667
1595	10	25	0	17.97238494	1.933333333
1596	7	15	0	25.45104603	2
1597	0	14	0	28.66443515	2.066666667
1598	0	14	0	27.29121339	2.133333333
1599	-1	14	0	28.78995816	2.2
1600	-3	17	0	29.44769874	2.266666667
1601	0	20	0	29.83179916	2.333333333
1602	9	24	0	17.08619247	2.4
1603	8	19	0	21.47698745	2.466666667
1604	4	15	0	26.44016736	2.533333333
1605	7	18	0.25	17.85188285	2.6
1606	6	20	10.67	14.33723849	2.666666667
1607	7	27	0	25.63933054	2.733333333
1608	12	24	0.76	12.27364017	2.8
1609	10	30	0.03	28.16987448	2.866666667
1610	13	32	0	27.52970711	2.933333333
1611	14	30	0	27.34393305	3
1612	14	28	0	28.91548117	3
1613	8	21	5.08	14.13640167	3
1614	8	13	0.03	4.132217573	3
1615	6	14	2.54	5.641004184	3
1616	4	24	0	23.29958159	3
1617	10	26	7.62	27.8083682	3
1618	15	26	2.54	19.27029289	3
1619	14	24	0	9.49707113	3
1620	19	29	0	21.8209205	3
1621	18	28	13.97	13.87531381	3
1622	16	24	0	19.60669456	3
1623	13	22	1.27	22.03179916	3
1624	11	21	1.02	19.7874477	3
1625	10	25	0	22.22008368	3
1626	10	23	0.76	27.65271967	3
1627	8	25	0.76	24.5623431	3
1628	14	25	0.03	19.641841	3
1629	14	27	0	22.15732218	3
1630	20	26	26.42	9.444351464	3
1631	15	26	1.02	27.68284519	3
1632	15	20	33.02	3.391631799	3
1633	19	32	0	24.03012552	3
1634	19	28	12.7	18.46443515	3
1635	17	25	11.68	6.778242678	3
1636	19	31	7.11	22.75230126	3
1637	17	28	0	28.82259414	3
1638	15	30	0	25.47112971	3
1639	17	30	0	25.03430962	3
1640	21	33	0	27.93389121	3
1641	25	36	0	28.63682008	3
1642	23	33	0	27.86610879	3
1643	23	30	0	20.43012552	3
1644	15	30	2.29	24.92887029	3
1645	12	29	0	30.01757322	3
1646	17	28	0	25.71213389	3
1647	21	35	20.83	26.23179916	3
1648	20	31	16	19.58158996	3
1649	20	29	1.02	16.88033473	3
1650	17	31	0	26.52301255	3
1651	15	22	65.02	6.439330544	3
1652	14	25	0	25.05941423	3
1653	11	27	1.78	28.62677824	3
1654	12	28	0	21.88870293	3
1655	13	29	0	26.43514644	3
1656	16	29	0	27.47949791	3
1657	18	32	0	27.56485356	3
1658	20	34	0	27.25857741	3
1659	20	26	0	13.04686192	3
1660	16	26	0	15.65523013	3
1661	19	29	3.56	15.13807531	3
1662	21	32	22.86	21.18577406	3
1663	15	25	0	23.68619247	3
1664	9	23	0.03	26.50543933	3
1665	14	22	3.81	10.97322176	3
1666	16	27	19.05	11.48284519	3
1667	17	31	0	25.24016736	3
1668	17	28	17.78	15.83096234	3
1669	19	31	8.89	24.63012552	3
1670	17	28	0	24.30125523	3
1671	18	33	0	24.11548117	3
1672	21	32	2.54	19.12719665	3
1673	15	26	0	22.45606695	3
1674	11	25	0	28.03430962	3
1675	13	20	22.35	7.915481172	3
1676	18	25	1.27	10.27280335	3
1677	16	26	0	21.59246862	3
1678	13	22	0	19.72970711	3
1679	15	26	0	22.08953975	3
1680	17	28	0.03	23.42008368	3
1681	17	29	0.51	21.09539749	3
1682	19	26	1.78	22.73221757	3
1683	16	32	0.03	25.20753138	3
1684	16	24	4.83	13.07949791	3
1685	12	24	10.16	18.04518828	3
1686	11	28	37.08	25.16485356	3
1687	16	25	0	15.66276151	3
1688	11	26	0	20.558159	3
1689	10	21	0	19.36569038	2.983333333
1690	6	22	0	26.01589958	2.966666667
1691	8	24	0	25.20502092	2.95
1692	10	25	10.16	23.68619247	2.933333333
1693	17	26	37.08	7.041841004	2.916666667
1694	16	24	0	7.707112971	2.9
1695	15	25	0	8.19916318	2.883333333
1696	14	28	0	20.70376569	2.866666667
1697	13	28	0	22.52635983	2.85
1698	12	28	0	22.53640167	2.833333333
1699	15	27	0	20.02594142	2.816666667
1700	15	28	1.27	15.41924686	2.8
1701	18	25	0	13.00167364	2.783333333
1702	16	26	0	18.71046025	2.766666667
1703	18	28	0	20.51297071	2.75
1704	18	30	33.02	17.96485356	2.733333333
1705	14	27	0	16.57154812	2.716666667
1706	10	27	0	23.01338912	2.7
1707	11	29	0.03	22.01924686	2.683333333
1708	17	27	1.27	15.70543933	2.666666667
1709	17	29	30.48	17.91966527	2.65
1710	21	33	0	20.21171548	2.633333333
1711	19	32	0	20.34476987	2.616666667
1712	21	30	0	20.73389121	2.6
1713	12	23	30.23	20.68870293	2.583333333
1714	9	25	0.03	17.7539749	2.566666667
1715	11	27	0.03	19.09707113	2.55
1716	14	20	0.03	6.853556485	2.533333333
1717	9	21	10.67	8.151464435	2.516666667
1718	4	20	0	20.92468619	2.5
1719	10	27	0	19.98577406	2.483333333
1720	10	26	0.03	19.10460251	2.466666667
1721	16	25	0.03	12.16066946	2.45
1722	13	22	0	10.29790795	2.433333333
1723	11	22	1.02	10.25020921	2.416666667
1724	7	17	0	13.17740586	2.4
1725	2	14	0	16.9832636	2.383333333
1726	1	13	2.03	9.717991632	2.366666667
1727	-1	16	0.25	15.58242678	2.35
1728	6	12	18.29	1.724686192	2.333333333
1729	2	14	3.56	10.09456067	2.316666667
1730	-1	20	0	17.74644351	2.3
1731	5	12	3.81	3.589958159	2.283333333
1732	9	15	0.03	3.369037657	2.266666667
1733	11	28	0.25	12.05271967	2.25
1734	9	23	1.78	15.96401674	2.233333333
1735	2	9	0	5.327196653	2.216666667
1736	1	11	1.27	3.881171548	2.2
1737	4	11	52.07	2.756485356	2.183333333
1738	2	13	6.86	9.825941423	2.166666667
1739	1	7	3.56	2.89707113	2.15
1740	-2	7	0	4.674476987	2.133333333
1741	1	17	1.78	12.80334728	2.116666667
1742	-2	13	4.83	15.74309623	2.1
1743	6	16	4.57	11.82426778	2.083333333
1744	11	24	0	11.841841	2.066666667
1745	1	19	7.62	9.672803347	2.05
1746	-2	11	0	15.28117155	2.033333333
1747	-2	17	0	13.41589958	2.016666667
1748	-5	8	0	11.61589958	2
1749	-8	5	0	7.960669456	1.966666667
1750	-5	3	1.02	4.664435146	1.933333333
1751	1	6	4.06	5.146443515	1.9
1752	-3	5	0	4.49874477	1.866666667
1753	-3	0	0.76	1.212552301	1.833333333
1754	-1	2	6.6	2.575732218	1.8
1755	-2	2	0	9.183263598	1.766666667
1756	-6	2	0	7.99832636	1.733333333
1757	-7	6	0	6.974058577	1.7
1758	2	5	0.51	1.687029289	1.666666667
1759	-2	4	0	4.159832636	1.633333333
1760	-5	5	0	4.820083682	1.6
1761	0	5	0	1.882845188	1.566666667
1762	3	9	0.03	3.763179916	1.533333333
1763	-3	4	0.76	2.942259414	1.5
1764	-5	2	0	10.8125523	1.466666667
1765	-8	2	0	9.893723849	1.433333333
1766	-5	7	0	11.21422594	1.4
1767	-5	7	0	10.80251046	1.366666667
1768	-5	1	0	7.385774059	1.333333333
1769	-4	2	0.03	2.962343096	1.3
1770	-5	6	0	8.949790795	1.266666667
1771	-4	17	0	10.18242678	1.233333333
1772	-1	11	0	4.973221757	1.2
1773	0	11	3.3	3.946443515	1.166666667
1774	-1	6	0	2.071129707	1.133333333
1775	-3	4	0	5.764016736	1.1
1776	-6	6	0	7.127196653	1.066666667
1777	-9	3	0	3.228451883	1.033333333
1778	-9	0	0	5.083682008	1
1779	-10	-3	0	6.165690377	0.966666667
1780	-9	1	0	5.633472803	0.933333333
1781	-7	2	0	7.965690377	0.9
1782	-3	7	0	5.452719665	0.866666667
1783	-4	9	0	8.482845188	0.833333333
1784	-5	7	0.03	5.769037657	0.8
1785	-4	4	1.78	3.409205021	0.766666667
1786	-4	1	0	3.635146444	0.733333333
1787	-2	5	0	6.509623431	0.7
1788	-7	-2	0	4.061924686	0.666666667
1789	-12	-5	0	3.830962343	0.633333333
1790	-12	-2	0	7.882845188	0.6
1791	-10	-2	0	4.963179916	0.566666667
1792	-9	7	0	6.790794979	0.533333333
1793	-5	8	0	5.410041841	0.5
1794	-11	-5	0	7.370711297	0.466666667
1795	-9	2	0	5.59832636	0.433333333
1796	-15	-4	0	7.629288703	0.4
1797	-18	-6	0	7.087029289	0.366666667
1798	-14	-7	0	3.720502092	0.333333333
1799	-17	-5	0	7.488702929	0.3
1800	-15	0	0	6.436820084	0.266666667
1801	-7	1	0	5.663598326	0.233333333
1802	-16	-6	0	7.305439331	0.2
1803	-14	3	0	6.261087866	0.166666667
1804	-6	6	0	6.389121339	0.133333333
1805	-3	3	0	0.926359833	0.1
1806	-3	3	0	4.40334728	0.066666667
1807	-9	4	0	6.916317992	0.033333333
1808	-4	8	0	6.542259414	0
1809	-4	6	0	2.939748954	0
1810	-7	0	0.03	1.393305439	0
1811	-4	3	3.05	1.410878661	0
1812	0	6	2.54	0.763179916	0
1813	-1	4	0.25	0.991631799	0
1814	-4	-1	0	2.922175732	0
1815	-7	-3	0	3.376569038	0
1816	-8	-3	0	2.952301255	0
1817	-11	-4	0	6.730543933	0
1818	-11	-6	0	1.137238494	0
1819	-13	-5	0	6.728033473	0
1820	-9	1	0	7.887866109	0
1821	-7	1	0	5.69874477	0
1822	-4	4	0.03	5.528033473	0
1823	-6	4	0	5.179079498	0
1824	-3	3	0	5.138912134	0
1825	-12	-3	0	7.227615063	0
1826	-18	-8	0	4.875313808	0
1827	-22	-8	0	7.870292887	0
1828	-20	-3	0	6.866108787	0
1829	-11	0	0.51	6.188284519	0
1830	-8	2	0	5.226778243	0
1831	-17	-1	0	5.932217573	0
1832	-18	-3	0	6.838493724	0
1833	-5	9	0	6.675313808	0
1834	1	9	0	7.059414226	0
1835	-2	3	0	2.387447699	0
1836	-4	6	0	7.584100418	0
1837	-6	4	0	7.925523013	0
1838	-8	1	1.02	2.234309623	0
1839	-4	-2	1.52	2.046025105	0
1840	-7	-3	0.03	4.189958159	0
1841	-17	-7	0.03	5.430125523	0
1842	-18	-7	0	8.590794979	0
1843	-24	-12	0	8.836820084	0
1844	-14	-1	0.25	7.654393305	0
1845	-10	-2	0	4.917991632	0
1846	-13	-1	0	6.994142259	0
1847	-9	8	0	7.594142259	0
1848	-9	0	0	3.057740586	0
1849	-16	-1	0	9.351464435	0
1850	-3	9	0	9.165690377	0
1851	-4	10	0	8.882008368	0
1852	-4	1	0	4.240167364	0
1853	-11	-4	0	1.968200837	0
1854	-12	-7	0	2.086192469	0
1855	-15	-6	0	6.768200837	0
1856	-11	-4	1.27	3.627615063	0
1857	-13	-2	0	11.71380753	0
1858	-12	-2	0.25	7.639330544	0
1859	-16	-6	0	9.411715481	0
1860	-23	-5	0	11.95230126	0
1861	-14	0	0	10.68451883	0
1862	2	8	0	11.29707113	0
1863	-5	7	0	10.89539749	0
1864	-6	10	0	10.92803347	0
1865	0	3	1.52	1.925523013	0
1866	-10	0	0	12.16820084	0
1867	-10	6	0	7.212552301	0
1868	-10	1	0	12.08284519	0
1869	-12	6	0	12.21589958	0
1870	-1	8	0	9.492050209	0
1871	-2	6	0	9.780753138	0
1872	-3	5	0	6.39916318	0
1873	-10	6	0	13.20251046	0
1874	1	11	0.51	8.312133891	0
1875	0	4	8.89	0.858577406	0
1876	-3	1	3.3	4.862761506	0
1877	-12	1	0	14.3874477	0
1878	-15	3	0	10.65188285	0
1879	1	10	0.03	10.16485356	0
1880	-6	2	2.54	1.69958159	0
1881	-11	-5	0	10.34560669	0
1882	-13	-7	0	9.012552301	0
1883	-19	-7	0	15.47196653	0
1884	-12	-7	0	14.33472803	0
1885	-21	-11	0	12.13054393	0
1886	-14	-8	0	14.3874477	0
1887	-22	-9	0.03	17.18912134	0
1888	-20	-7	0	7.310460251	0
1889	-13	-4	1.78	4.917991632	0
1890	-9	-6	0.25	11.54811715	0
1891	-13	-5	6.6	5.841841004	0
1892	-7	-1	5.08	6.291213389	0
1893	-12	-1	5.84	8.994979079	0
1894	-18	-7	0.03	15.11297071	0
1895	-12	-1	0	14.91213389	0
1896	-11	4	0	16.45606695	0
1897	-1	6	0.03	12.7707113	0
1898	-4	1	14.48	2.470292887	0
1899	-6	-1	2.03	18.16820084	0
1900	-17	3	0	20.71631799	0
1901	-4	3	0.25	11.88451883	0
1902	-4	6	0.76	14.81924686	0
1903	-1	4	0.76	7.651882845	0
1904	-9	2	0.51	15.18577406	0
1905	-17	-6	0	18.76066946	0
1906	-14	-6	0	21.15313808	0
1907	-11	1	0	18.28368201	0
1908	-10	-2	0	21.46443515	0
1909	-16	-2	0	21.88368201	0
1910	-14	2	0	21.57991632	0
1911	-7	9	0	20.77656904	0
1912	3	9	1.02	18.67531381	0
1913	-2	8	0	19.91046025	0
1914	-7	6	0.03	14.59079498	0
1915	-5	2	0	8.5958159	0
1916	-10	-2	3.56	5.756485356	0
1917	-3	0	10.16	11.67615063	0
1918	-7	-1	0	12.85857741	0
1919	-5	1	0	16.52384937	0
1920	-11	3	0	22.11715481	0
1921	-7	7	0	20.84937238	0
1922	6	15	0	8.769037657	0
1923	3	14	0	12.92384937	0
1924	-3	11	2.29	23.50543933	0
1925	4	11	30.48	6.943933054	0
1926	3	6	25.15	3.394142259	0
1927	4	17	0	19.96820084	0
1928	4	20	1.27	18.65020921	0
1929	9	24	1.02	19.09205021	0
1930	9	31	0	20.29456067	0
1931	20	31	0.51	15.32887029	0
1932	9	28	1.78	24.12803347	0.066666667
1933	8	28	11.18	22.72468619	0.133333333
1934	2	22	0	18.29372385	0.2
1935	-1	10	0	25.22259414	0.266666667
1936	-1	9	5.84	6.30125523	0.333333333
1937	-2	5	1.02	13.09456067	0.4
1938	1	19	0	23.98493724	0.466666667
1939	5	18	0	14.58577406	0.533333333
1940	-2	6	0	25.70711297	0.6
1941	-4	10	1.27	23.10125523	0.666666667
1942	0	9	15.24	4.325523013	0.733333333
1943	1	5	3.81	8.354811715	0.8
1944	4	16	1.27	22.05439331	0.866666667
1945	-2	17	0	18.79330544	0.933333333
1946	-1	14	0	15.71799163	1
1947	-2	10	0	23.53054393	1.066666667
1948	-4	18	0	28.31297071	1.133333333
1949	0	15	0	16.29790795	1.2
1950	-2	23	10.92	20.13138075	1.266666667
1951	5	12	0	7.360669456	1.333333333
1952	1	10	3.81	10.76736402	1.4
1953	4	8	15.24	5.194142259	1.466666667
1954	3	9	0	9.672803347	1.533333333
1955	1	17	0	25.49372385	1.6
1956	4	12	2.54	5.066108787	1.666666667
1957	5	10	0	8.540585774	1.733333333
1958	1	18	1.27	19.03933054	1.8
1959	6	18	0	27.09288703	1.866666667
1960	10	25	0	17.97238494	1.933333333
1961	7	15	0	25.45104603	2
1962	0	14	0	28.66443515	2.066666667
1963	0	14	0	27.29121339	2.133333333
1964	-1	14	0	28.78995816	2.2
1965	-3	17	0	29.44769874	2.266666667
1966	0	20	0	29.83179916	2.333333333
1967	9	24	0	17.08619247	2.4
1968	8	19	0	21.47698745	2.466666667
1969	4	15	0	26.44016736	2.533333333
1970	7	18	0.25	17.85188285	2.6
1971	6	20	10.67	14.33723849	2.666666667
1972	7	27	0	25.63933054	2.733333333
1973	12	24	0.76	12.27364017	2.8
1974	10	30	0.03	28.16987448	2.866666667
1975	13	32	0	27.52970711	2.933333333
1976	14	30	0	27.34393305	3
1977	14	28	0	28.91548117	3
1978	8	21	5.08	14.13640167	3
1979	8	13	0.03	4.132217573	3
1980	6	14	2.54	5.641004184	3
1981	4	24	0	23.29958159	3
1982	10	26	7.62	27.8083682	3
1983	15	26	2.54	19.27029289	3
1984	14	24	0	9.49707113	3
1985	19	29	0	21.8209205	3
1986	18	28	13.97	13.87531381	3
1987	16	24	0	19.60669456	3
1988	13	22	1.27	22.03179916	3
1989	11	21	1.02	19.7874477	3
1990	10	25	0	22.22008368	3
1991	10	23	0.76	27.65271967	3
1992	8	25	0.76	24.5623431	3
1993	14	25	0.03	19.641841	3
1994	14	27	0	22.15732218	3
1995	20	26	26.42	9.444351464	3
1996	15	26	1.02	27.68284519	3
1997	15	20	33.02	3.391631799	3
1998	19	32	0	24.03012552	3
1999	19	28	12.7	18.46443515	3
2000	17	25	11.68	6.778242678	3
2001	19	31	7.11	22.75230126	3
2002	17	28	0	28.82259414	3
2003	15	30	0	25.47112971	3
2004	17	30	0	25.03430962	3
2005	21	33	0	27.93389121	3
2006	25	36	0	28.63682008	3
2007	23	33	0	27.86610879	3
2008	23	30	0	20.43012552	3
2009	15	30	2.29	24.92887029	3
2010	12	29	0	30.01757322	3
2011	17	28	0	25.71213389	3
2012	21	35	20.83	26.23179916	3
2013	20	31	16	19.58158996	3
2014	20	29	1.02	16.88033473	3
2015	17	31	0	26.52301255	3
2016	15	22	65.02	6.439330544	3
2017	14	25	0	25.05941423	3
2018	11	27	1.78	28.62677824	3
2019	12	28	0	21.88870293	3
2020	13	29	0	26.43514644	3
2021	16	29	0	27.47949791	3
2022	18	32	0	27.56485356	3
2023	20	34	0	27.25857741	3
2024	20	26	0	13.04686192	3
2025	16	26	0	15.65523013	3
2026	19	29	3.56	15.13807531	3
2027	21	32	22.86	21.18577406	3
2028	15	25	0	23.68619247	3
2029	9	23	0.03	26.50543933	3
2030	14	22	3.81	10.97322176	3
2031	16	27	19.05	11.48284519	3
2032	17	31	0	25.24016736	3
2033	17	28	17.78	15.83096234	3
2034	19	31	8.89	24.63012552	3
2035	17	28	0	24.30125523	3
2036	18	33	0	24.11548117	3
2037	21	32	2.54	19.12719665	3
2038	15	26	0	22.45606695	3
2039	11	25	0	28.03430962	3
2040	13	20	22.35	7.915481172	3
2041	18	25	1.27	10.27280335	3
2042	16	26	0	21.59246862	3
2043	13	22	0	19.72970711	3
2044	15	26	0	22.08953975	3
2045	17	28	0.03	23.42008368	3
2046	17	29	0.51	21.09539749	3
2047	19	26	1.78	22.73221757	3
2048	16	32	0.03	25.20753138	3
2049	16	24	4.83	13.07949791	3
2050	12	24	10.16	18.04518828	3
2051	11	28	37.08	25.16485356	3
2052	16	25	0	15.66276151	3
2053	11	26	0	20.558159	3
2054	10	21	0	19.36569038	2.983333333
2055	6	22	0	26.01589958	2.966666667
2056	8	24	0	25.20502092	2.95
2057	10	25	10.16	23.68619247	2.933333333
2058	17	26	37.08	7.041841004	2.916666667
2059	16	24	0	7.707112971	2.9
2060	15	25	0	8.19916318	2.883333333
2061	14	28	0	20.70376569	2.866666667
2062	13	28	0	22.52635983	2.85
2063	12	28	0	22.53640167	2.833333333
2064	15	27	0	20.02594142	2.816666667
2065	15	28	1.27	15.41924686	2.8
2066	18	25	0	13.00167364	2.783333333
2067	16	26	0	18.71046025	2.766666667
2068	18	28	0	20.51297071	2.75
2069	18	30	33.02	17.96485356	2.733333333
2070	14	27	0	16.57154812	2.716666667
2071	10	27	0	23.01338912	2.7
2072	11	29	0.03	22.01924686	2.683333333
2073	17	27	1.27	15.70543933	2.666666667
2074	17	29	30.48	17.91966527	2.65
2075	21	33	0	20.21171548	2.633333333
2076	19	32	0	20.34476987	2.616666667
2077	21	30	0	20.73389121	2.6
2078	12	23	30.23	20.68870293	2.583333333
2079	9	25	0.03	17.7539749	2.566666667
2080	11	27	0.03	19.09707113	2.55
2081	14	20	0.03	6.853556485	2.533333333
2082	9	21	10.67	8.151464435	2.516666667
2083	4	20	0	20.92468619	2.5
2084	10	27	0	19.98577406	2.483333333
2085	10	26	0.03	19.10460251	2.466666667
2086	16	25	0.03	12.16066946	2.45
2087	13	22	0	10.29790795	2.433333333
2088	11	22	1.02	10.25020921	2.416666667
2089	7	17	0	13.17740586	2.4
2090	2	14	0	16.9832636	2.383333333
2091	1	13	2.03	9.717991632	2.366666667
2092	-1	16	0.25	15.58242678	2.35
2093	6	12	18.29	1.724686192	2.333333333
2094	2	14	3.56	10.09456067	2.316666667
2095	-1	20	0	17.74644351	2.3
2096	5	12	3.81	3.589958159	2.283333333
2097	9	15	0.03	3.369037657	2.266666667
2098	11	28	0.25	12.05271967	2.25
2099	9	23	1.78	15.96401674	2.233333333
2100	2	9	0	5.327196653	2.216666667
2101	1	11	1.27	3.881171548	2.2
2102	4	11	52.07	2.756485356	2.183333333
2103	2	13	6.86	9.825941423	2.166666667
2104	1	7	3.56	2.89707113	2.15
2105	-2	7	0	4.674476987	2.133333333
2106	1	17	1.78	12.80334728	2.116666667
2107	-2	13	4.83	15.74309623	2.1
2108	6	16	4.57	11.82426778	2.083333333
2109	11	24	0	11.841841	2.066666667
2110	1	19	7.62	9.672803347	2.05
2111	-2	11	0	15.28117155	2.033333333
2112	-2	17	0	13.41589958	2.016666667
2113	-5	8	0	11.61589958	2
2114	-8	5	0	7.960669456	1.966666667
2115	-5	3	1.02	4.664435146	1.933333333
2116	1	6	4.06	5.146443515	1.9
2117	-3	5	0	4.49874477	1.866666667
2118	-3	0	0.76	1.212552301	1.833333333
2119	-1	2	6.6	2.575732218	1.8
2120	-2	2	0	9.183263598	1.766666667
2121	-6	2	0	7.99832636	1.733333333
2122	-7	6	0	6.974058577	1.7
2123	2	5	0.51	1.687029289	1.666666667
2124	-2	4	0	4.159832636	1.633333333
2125	-5	5	0	4.820083682	1.6
2126	0	5	0	1.882845188	1.566666667
2127	3	9	0.03	3.763179916	1.533333333
2128	-3	4	0.76	2.942259414	1.5
2129	-5	2	0	10.8125523	1.466666667
2130	-8	2	0	9.893723849	1.433333333
2131	-5	7	0	11.21422594	1.4
2132	-5	7	0	10.80251046	1.366666667
2133	-5	1	0	7.385774059	1.333333333
2134	-4	2	0.03	2.962343096	1.3
2135	-5	6	0	8.949790795	1.266666667
2136	-4	17	0	10.18242678	1.233333333
2137	-1	11	0	4.973221757	1.2
2138	0	11	3.3	3.946443515	1.166666667
2139	-1	6	0	2.071129707	1.133333333
2140	-3	4	0	5.764016736	1.1
2141	-6	6	0	7.127196653	1.066666667
2142	-9	3	0	3.228451883	1.033333333
2143	-9	0	0	5.083682008	1
2144	-10	-3	0	6.165690377	0.966666667
2145	-9	1	0	5.633472803	0.933333333
2146	-7	2	0	7.965690377	0.9
2147	-3	7	0	5.452719665	0.866666667
2148	-4	9	0	8.482845188	0.833333333
2149	-5	7	0.03	5.769037657	0.8
2150	-4	4	1.78	3.409205021	0.766666667
2151	-4	1	0	3.635146444	0.733333333
2152	-2	5	0	6.509623431	0.7
2153	-7	-2	0	4.061924686	0.666666667
2154	-12	-5	0	3.830962343	0.633333333
2155	-12	-2	0	7.882845188	0.6
2156	-10	-2	0	4.963179916	0.566666667
2157	-9	7	0	6.790794979	0.533333333
2158	-5	8	0	5.410041841	0.5
2159	-11	-5	0	7.370711297	0.466666667
2160	-9	2	0	5.59832636	0.433333333
2161	-15	-4	0	7.629288703	0.4
2162	-18	-6	0	7.087029289	0.366666667
2163	-14	-7	0	3.720502092	0.333333333
2164	-17	-5	0	7.488702929	0.3
2165	-15	0	0	6.436820084	0.266666667
2166	-7	1	0	5.663598326	0.233333333
2167	-16	-6	0	7.305439331	0.2
2168	-14	3	0	6.261087866	0.166666667
2169	-6	6	0	6.389121339	0.133333333
2170	-3	3	0	0.926359833	0.1
2171	-3	3	0	4.40334728	0.066666667
2172	-9	4	0	6.916317992	0.033333333
2173	-4	8	0	6.542259414	0
2174	-4	6	0	2.939748954	0
2175	-7	0	0.03	1.393305439	0
2176	-4	3	3.05	1.410878661	0
2177	0	6	2.54	0.763179916	0
2178	-1	4	0.25	0.991631799	0
2179	-4	-1	0	2.922175732	0
2180	-7	-3	0	3.376569038	0
2181	-8	-3	0	2.952301255	0
2182	-11	-4	0	6.730543933	0
2183	-11	-6	0	1.137238494	0
2184	-13	-5	0	6.728033473	0
2185	-9	1	0	7.887866109	0
2186	-7	1	0	5.69874477	0
2187	-4	4	0.03	5.528033473	0
2188	-6	4	0	5.179079498	0
2189	-3	3	0	5.138912134	0
2190	-12	-3	0	7.227615063	0
2191	-18	-8	0	4.875313808	0
2192	-22	-8	0	7.870292887	0
2193	-20	-3	0	6.866108787	0
2194	-11	0	0.51	6.188284519	0
2195	-8	2	0	5.226778243	0
2196	-17	-1	0	5.932217573	0
2197	-18	-3	0	6.838493724	0
2198	-5	9	0	6.675313808	0
2199	1	9	0	7.059414226	0
2200	-2	3	0	2.387447699	0
2201	-4	6	0	7.584100418	0
2202	-6	4	0	7.925523013	0
2203	-8	1	1.02	2.234309623	0
2204	-4	-2	1.52	2.046025105	0
